id_processo,cnpj,tj,leilao_teve,leilao_data,leilao_vendeu,upi_teve,upi_vendeu
00013984720128260394,NA,SP,NA,NA,NA,NA,NA
00013003520138260424,00952110000153,SP,NA,NA,NA,NA,NA
10009891220158260180,11340754000107,SP,NA,NA,NA,NA,NA
00153074520138260161,11751834000155,SP,Não,NA,NA,Não,Não
00153074520138260161,09506514000198,SP,Não,NA,NA,Não,Não
00153074520138260161,57983645000109,SP,Não,NA,NA,Não,Não
00152842520128260100,10392481000181,SP,NA,NA,NA,NA,NA
00151878820138260100,NA,SP,NA,NA,NA,NA,NA
00149944420118260100,05874827000148,SP,NA,NA,NA,NA,NA
00148665320138260100,06295870000111,SP,NA,NA,NA,NA,NA
00147902920138260100,03110730000133,SP,Não,NA,NA,Não,Não
00053460620128260100,45145075000107,SP,NA,NA,NA,NA,NA
00049121220148260176,52604287000162,SP,NA,NA,NA,NA,NA
00048370420148260586,08443084000140,SP,NA,NA,NA,NA,NA
00012132220158260291,55859656000156,SP,Não,NA,NA,Não,Não
00011607720138260625,49524192000124,SP,Não,NA,NA,Não,Não
00058317920138260323,02234246000153,SP,NA,NA,NA,NA,NA
00058259620128260100,13256637000195,SP,NA,NA,NA,NA,NA
00057037720148260338,07495622000187,SP,NA,NA,NA,NA,NA
00056494420158260543,55275911000113,SP,Não,NA,NA,Não,Não
00056494420158260543,04070276000105,SP,Não,NA,NA,Não,Não
00056494420158260543,10306294000138,SP,Não,NA,NA,Não,Não
00056494420158260543,62022546000109,SP,Não,NA,NA,Não,Não
00054616120118260100,58225616000140,SP,Não,NA,NA,Não,Não
00053934420108260554,68194208000122,SP,NA,NA,NA,NA,NA
00010360720138260363,NA,SP,Não,NA,NA,Não,Não
00567864120128260100,46520110000185,SP,NA,NA,NA,NA,NA
00567864120128260100,13115995000188,SP,NA,NA,NA,NA,NA
00047755420118260299,10206966000133,SP,Não,NA,NA,Não,Não
00047755420118260299,10206866000107,SP,Não,NA,NA,Não,Não
00047755420118260299,57329997000145,SP,Não,NA,NA,Não,Não
00047755420118260299,10206980000137,SP,Não,NA,NA,Não,Não
00047755420118260299,10206853000138,SP,Não,NA,NA,Não,Não
00047755420118260299,09003721000120,SP,Não,NA,NA,Não,Não
00047755420118260299,10207285000190,SP,Não,NA,NA,Não,Não
00047755420118260299,10207243000159,SP,Não,NA,NA,Não,Não
00047755420118260299,02270165000109,SP,Não,NA,NA,Não,Não
00563849120118260100,60634797000100,SP,Não,NA,NA,Não,Não
00563849120118260100,02041149000144,SP,Não,NA,NA,Não,Não
00563849120118260100,07638611000109,SP,Não,NA,NA,Não,Não
00047311620128260100,00807488000163,SP,NA,NA,NA,NA,NA
00045031420148260539,57830390000225,SP,Não,NA,NA,Não,Não
00556714820138260100,10700945000170,SP,Não,NA,NA,Não,Não
00556714820138260100,55281851000141,SP,Não,NA,NA,Não,Não
00044660820148260338,08353550000104,SP,Não,NA,NA,Não,Não
00044660820148260338,11747317000102,SP,Não,NA,NA,Não,Não
00144176620118260100,33022369000154,SP,Sim,NA,NA,Não,Não
00537549120138260100,67526301000124,SP,Não,NA,NA,Não,Não
10011494020178260609,55011373000230,SP,NA,NA,NA,NA,NA
10011494020178260609,55011373000150,SP,NA,NA,NA,NA,NA
10014329720178260048,14239876000108,SP,NA,NA,NA,NA,NA
00143616220138260100,47704747000194,SP,Não,NA,NA,Não,Não
00143039320128260100,NA,SP,NA,NA,NA,NA,NA
00142975220138260100,03019549000116,SP,Não,NA,NA,Não,Não
00142975220138260100,04658889000150,SP,Não,NA,NA,Não,Não
00142975220138260100,03274060000190,SP,Não,NA,NA,Não,Não
00008838520158260659,72911316000901,SP,NA,NA,NA,NA,NA
00525966920118260100,55572044000188,SP,Sim,NA,NA,Sim,Sim
00525966920118260100,05592666000108,SP,Sim,NA,NA,Sim,Sim
00141867920138260161,59311977000172,SP,Sim,NA,NA,Não,Não
