id_processo,status,area,assunto,vara,data_hora,controle,incidente,processo_principal,recebido_em,processo,cdp,digital,classe,distribuicao,juiz,local_fisico,execucao_de_sentenca,erro,valor_da_acao,outros_numeros,dados_da_precatoria,outros_assuntos,apensado_ao,acao_incidental,cdas,entranhado_ao
1007442-80.2015.8.26.0161,Extinto,Civel,Marca,2ª Vara Civel - Foro de Diadema,30/06/2015 as 18:38 - Livre,2015/001130,NA,NA,NA,1007442-80.2015.8.26.0161 Extinto,NA,TRUE,Procedimento Comum Civel,30/06/2015 as 18:38 - Livre | 2ª Vara Civel - Foro de Diadema,ANDRE PASQUALE ROCCO SCAVONE,NA,NA,NA,"R$ 50.000,00",NA,NA,"Antecipacao de Tutela / Tutela Especifica,Obrigacao de Fazer / Nao Fazer,Perdas e Danos,Propriedade Intelectual / Industrial",NA,NA,NA,NA
1007453-25.2020.8.26.0100,,Civel,Apuracao de haveres,2ª VARA EMPRESARIAL E CONFLITOS DE ARBITRAGEM - Foro Central Civel,29/01/2020 as 19:09 - Dependencia (1059036-83.2019.8.26.0100),2020/000075,NA,NA,NA,1007453-25.2020.8.26.0100,NA,FALSE,Dissolucao Parcial de Sociedade,29/01/2020 as 19:09 - Dependencia (1059036-83.2019.8.26.0100) | 2ª VARA EMPRESARIAL E CONFLITOS DE ARBITRAGEM - Foro Central Civel,LUIS FELIPE FERRARI BEDENDI,NA,NA,NA,"R$ 66.667,00",NA,NA,Ingresso e Exclusao dos Socios na Sociedade,NA,NA,NA,1059036-83.2019.8.26.0100
1007474-98.2020.8.26.0100,,Civel,Constituicao,2ª VARA EMPRESARIAL E CONFLITOS DE ARBITRAGEM - Foro Central Civel,29/01/2020 as 20:09 - Livre,2020/000076,NA,NA,NA,1007474-98.2020.8.26.0100,NA,TRUE,Procedimento Comum Civel,29/01/2020 as 20:09 - Livre | 2ª VARA EMPRESARIAL E CONFLITOS DE ARBITRAGEM - Foro Central Civel,Renata Mota Maciel,NA,NA,NA,"R$ 10.000,00",NA,NA,Ingresso e Exclusao dos Socios na Sociedade,NA,NA,NA,NA
1007493-26.2019.8.26.0008,Extinto,Civel,Dissolucao,1ª VARA EMPRESARIAL E CONFLITOS DE ARBITRAGEM - Foro Central Civel,27/06/2019 as 11:57 - Livre,2019/000639,NA,NA,NA,1007493-26.2019.8.26.0008 Extinto,NA,TRUE,Procedimento Comum Civel,27/06/2019 as 11:57 - Livre | 1ª VARA EMPRESARIAL E CONFLITOS DE ARBITRAGEM - Foro Central Civel,PAULA DA ROCHA E SILVA FORMOSO,NA,NA,NA,"R$ 1.000,00",NA,NA,NA,NA,NA,NA,NA
1007534-33.2018.8.26.0006,,Civel,Perdas e Danos,2ª VARA EMPRESARIAL E CONFLITOS DE ARBITRAGEM - Foro Central Civel,18/08/2018 as 10:06 - Livre,2018/000670,NA,NA,NA,1007534-33.2018.8.26.0006,NA,TRUE,Procedimento Comum Civel,18/08/2018 as 10:06 - Livre | 2ª VARA EMPRESARIAL E CONFLITOS DE ARBITRAGEM - Foro Central Civel,Renata Mota Maciel,NA,NA,NA,"R$ 236.990,00",NA,NA,NA,NA,NA,NA,NA
1007542-19.2018.8.26.0100,Extinto,Civel,Recuperacao judicial e Falencia,2ª VARA EMPRESARIAL E CONFLITOS DE ARBITRAGEM - Foro Central Civel,20/02/2018 as 13:43 - Livre,2018/000073,NA,NA,NA,1007542-19.2018.8.26.0100 Extinto,NA,TRUE,Cumprimento de sentenca,20/02/2018 as 13:43 - Livre | 2ª VARA EMPRESARIAL E CONFLITOS DE ARBITRAGEM - Foro Central Civel,Eduardo Palma Pellegrinelli,NA,NA,NA,"R$ 45.018.327,47",NA,NA,NA,NA,NA,NA,NA
1007545-71.2018.8.26.0100,Em grau de recurso,Civel,Doacao,1ª VARA EMPRESARIAL E CONFLITOS DE ARBITRAGEM - Foro Central Civel,09/02/2018 as 09:05 - Livre,2018/000059,NA,NA,NA,1007545-71.2018.8.26.0100 Em grau de recurso,NA,FALSE,Procedimento Comum Civel,09/02/2018 as 09:05 - Livre | 1ª VARA EMPRESARIAL E CONFLITOS DE ARBITRAGEM - Foro Central Civel,PAULA DA ROCHA E SILVA FORMOSO,NA,NA,NA,"R$ 20.000,00",NA,NA,Marca,NA,NA,NA,NA
1007549-74.2019.8.26.0100,Extinto,Civel,Ingresso e Exclusao dos Socios na Sociedade,1ª VARA EMPRESARIAL E CONFLITOS DE ARBITRAGEM - Foro Central Civel,31/01/2019 as 19:26 - Livre,2019/000072,NA,NA,NA,1007549-74.2019.8.26.0100 Extinto,NA,TRUE,Dissolucao Parcial de Sociedade,31/01/2019 as 19:26 - Livre | 1ª VARA EMPRESARIAL E CONFLITOS DE ARBITRAGEM - Foro Central Civel,PAULA DA ROCHA E SILVA FORMOSO,NA,NA,NA,"R$ 250.000,00",NA,NA,NA,NA,NA,NA,NA
1007550-42.2018.8.26.0020,Extinto,Civel,Franquia,2ª Vara Civel - Foro Regional XII - Nossa Senhora do O,05/09/2018 as 10:31 - Direcionada,2018/001870,NA,NA,NA,1007550-42.2018.8.26.0020 Extinto,NA,TRUE,Execucao de Titulo Extrajudicial,05/09/2018 as 10:31 - Direcionada | 2ª Vara Civel - Foro Regional XII - Nossa Senhora do O,Fernanda Mendes Simoes Colombini,NA,NA,NA,"R$ 113.445,00",NA,NA,NA,NA,NA,NA,NA
1007561-88.2019.8.26.0100,Em grau de recurso,Civel,Propriedade Intelectual / Industrial,2ª VARA EMPRESARIAL E CONFLITOS DE ARBITRAGEM - Foro Central Civel,31/01/2019 as 19:20 - Livre,2019/000072,NA,NA,NA,1007561-88.2019.8.26.0100 Em grau de recurso,NA,FALSE,Procedimento Comum Civel,31/01/2019 as 19:20 - Livre | 2ª VARA EMPRESARIAL E CONFLITOS DE ARBITRAGEM - Foro Central Civel,Eduardo Palma Pellegrinelli,NA,NA,NA,"R$ 80.000,00",NA,NA,Marca,NA,NA,NA,NA
