tipo_andamento,classe,num_processo,link,relator,data_autuacao,data_baixa,meio_processo,grupo_origem,assunto_completo,com_pedido_vista,merito_pendente,ramo_direito,em_tramitacao,qtd_processos
recebido,AC,4330,https://portal.stf.jus.br/processos/detalhe.asp?incidente=5188049,-,15/05/2017,31/05/2017,Físico,Originária,0 - DIREITO PROCESSUAL PENAL || INVESTIGAÇÃO PENAL,Não,Não,DIREITO PROCESSUAL PENAL,Não,1
recebido,AC,4331,https://portal.stf.jus.br/processos/detalhe.asp?incidente=5188065,-,15/05/2017,31/05/2017,Físico,Originária,0 - DIREITO PROCESSUAL PENAL || INVESTIGAÇÃO PENAL,Não,Não,DIREITO PROCESSUAL PENAL,Não,1
recebido,AC,4335,https://portal.stf.jus.br/processos/detalhe.asp?incidente=5200459,-,31/05/2017,05/03/2021,Físico,Originária,0 - DIREITO PROCESSUAL PENAL || INVESTIGAÇÃO PENAL,Não,Sim,DIREITO PROCESSUAL PENAL,Não,1
recebido,AC,4339,https://portal.stf.jus.br/processos/detalhe.asp?incidente=5202556,-,05/06/2017,05/06/2017,Físico,Originária,1 - DIREITO PROCESSUAL PENAL || INVESTIGAÇÃO PENAL,Não,Não se aplica,DIREITO PROCESSUAL PENAL,Não,1
recebido,AC,4352,https://portal.stf.jus.br/processos/detalhe.asp?incidente=5260812,-,08/09/2017,10/05/2018,Físico,Originária,1 - DIREITO PROCESSUAL PENAL,Não,Não,DIREITO PROCESSUAL PENAL,Não,1
recebido,AC,4422,https://portal.stf.jus.br/processos/detalhe.asp?incidente=5635110,-,18/02/2019,13/06/2022,Físico,Originária,1 - DIREITO PROCESSUAL PENAL || INVESTIGAÇÃO PENAL,Não,Não,DIREITO PROCESSUAL PENAL,Não,1
recebido,AC,4424,https://portal.stf.jus.br/processos/detalhe.asp?incidente=5675322,-,15/04/2019,11/09/2019,Físico,Originária,1 - DIREITO PROCESSUAL PENAL,Não,Não,DIREITO PROCESSUAL PENAL,Não,1
recebido,AC,4430,https://portal.stf.jus.br/processos/detalhe.asp?incidente=5749422,-,13/08/2019,10/12/2021,Eletrônico,Originária,1 - DIREITO PROCESSUAL PENAL || INVESTIGAÇÃO PENAL,Não,Não,DIREITO PROCESSUAL PENAL,Não,1
recebido,AC,4437,https://portal.stf.jus.br/processos/detalhe.asp?incidente=5775335,-,17/09/2019,-,Físico,Originária,1 - DIREITO PROCESSUAL PENAL || INVESTIGAÇÃO PENAL,Não,Não,DIREITO PROCESSUAL PENAL,Sim,1
recebido,ACO,1109,https://portal.stf.jus.br/processos/detalhe.asp?incidente=2584270,-,18/12/2007,03/05/2012,Físico,Originária,"1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO || AGENTES POLÍTICOS || MINISTÉRIO PÚBLICO2 - DIREITO PROCESSUAL CIVIL E DO TRABALHO || PARTES E PROCURADORES || CAPACIDADE PROCESSUAL",Não,Não,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,Não,1
